frame,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14
106,0.000319,0.000191,0.017543,0.011827,0.624608,0.673398,0.000096,0.002263,0.001438,0.010827,0.030614,0.129029,0.002324,0.003619,0.000315
107,0.000016,0.000132,0.000202,0.009393,0.991348,0.029871,0.000032,0.000526,0.000200,0.000713,0.005676,0.002283,0.002622,0.000273,0.000093
108,0.000005,0.000081,0.000160,0.066116,0.969137,0.026277,0.000033,0.001459,0.000380,0.001347,0.004889,0.001967,0.004328,0.000294,0.000099
109,0.000004,0.000030,0.000076,0.025941,0.985973,0.029770,0.000016,0.000996,0.000234,0.004739,0.003421,0.001541,0.001319,0.000208,0.000055
110,0.000029,0.000057,0.000187,0.005546,0.995219,0.031089,0.000015,0.000818,0.000228,0.001299,0.004575,0.003742,0.000953,0.000788,0.000117
111,0.000041,0.000361,0.000329,0.061210,0.967797,0.017141,0.000059,0.000375,0.000445,0.001605,0.006660,0.002892,0.007617,0.001240,0.000275
112,0.000008,0.000019,0.000100,0.327580,0.825188,0.007664,0.000028,0.000504,0.000281,0.001366,0.001852,0.000955,0.004058,0.000319,0.000091
113,0.000035,0.000132,0.000242,0.328677,0.804255,0.008090,0.000056,0.000327,0.000482,0.000915,0.002083,0.001716,0.009389,0.000821,0.000188
114,0.000020,0.000121,0.000195,0.087901,0.959456,0.005924,0.000051,0.000326,0.000322,0.000766,0.002068,0.001179,0.004058,0.000709,0.000130
115,0.000128,0.000223,0.000217,0.039158,0.963913,0.020189,0.000064,0.000834,0.000341,0.002183,0.009174,0.002256,0.005627,0.000607,0.000211
116,0.000001,0.000140,0.000024,0.001509,0.997085,0.006095,0.000007,0.001410,0.000097,0.000373,0.000555,0.000340,0.000649,0.000341,0.000039
117,0.000008,0.000112,0.000063,0.004964,0.996118,0.013626,0.000015,0.000869,0.000119,0.000474,0.001459,0.000721,0.001870,0.000204,0.000046
118,0.000009,0.000419,0.000080,0.000573,0.998652,0.015911,0.000027,0.000651,0.000103,0.000354,0.000317,0.000521,0.001426,0.000554,0.000079
119,0.000011,0.000826,0.000068,0.000580,0.997772,0.005640,0.000010,0.000608,0.000067,0.000093,0.000332,0.000422,0.000663,0.002539,0.000109
120,0.000000,0.000019,0.000001,0.000172,0.999790,0.000831,0.000001,0.000361,0.000014,0.000053,0.000376,0.000064,0.000021,0.000149,0.000011
121,0.000000,0.000473,0.000138,0.000157,0.994705,0.018995,0.000001,0.002578,0.000040,0.000056,0.000114,0.000735,0.000406,0.000196,0.000061
122,0.000000,0.000405,0.000086,0.000114,0.994963,0.006694,0.000001,0.002709,0.000022,0.000025,0.000044,0.000256,0.000206,0.000141,0.000030
123,0.000000,0.000274,0.000122,0.000154,0.994418,0.014853,0.000001,0.002380,0.000030,0.000039,0.000079,0.000511,0.000303,0.000143,0.000035
124,0.000000,0.000407,0.000080,0.000133,0.995112,0.007989,0.000001,0.002532,0.000024,0.000030,0.000051,0.000300,0.000233,0.000134,0.000032
125,0.000000,0.000425,0.000101,0.000126,0.994995,0.008469,0.000001,0.002666,0.000026,0.000029,0.000058,0.000352,0.000250,0.000163,0.000037
126,0.000000,0.000238,0.000159,0.000140,0.994546,0.012686,0.000001,0.002631,0.000030,0.000039,0.000100,0.000539,0.000273,0.000153,0.000039
127,0.000000,0.000253,0.000094,0.000129,0.994713,0.010314,0.000001,0.002299,0.000023,0.000029,0.000053,0.000328,0.000209,0.000128,0.000029
128,0.000000,0.000316,0.000093,0.000111,0.995633,0.006991,0.000001,0.002618,0.000022,0.000027,0.000051,0.000288,0.000205,0.000134,0.000033
129,0.000000,0.000237,0.000137,0.000120,0.994915,0.011504,0.000001,0.002303,0.000027,0.000036,0.000076,0.000463,0.000256,0.000143,0.000034
130,0.000000,0.000284,0.000102,0.000126,0.994911,0.009590,0.000001,0.002334,0.000025,0.000030,0.000057,0.000351,0.000232,0.000129,0.000031
131,0.000000,0.000329,0.000097,0.000140,0.994643,0.009595,0.000001,0.002422,0.000026,0.000031,0.000062,0.000380,0.000244,0.000135,0.000033
132,0.000000,0.000258,0.000145,0.000119,0.994574,0.011397,0.000001,0.002583,0.000027,0.000033,0.000086,0.000482,0.000240,0.000147,0.000038
133,0.000000,0.000277,0.000115,0.000110,0.995112,0.007958,0.000001,0.002471,0.000023,0.000028,0.000056,0.000332,0.000213,0.000132,0.000032
134,0.000000,0.000309,0.000108,0.000143,0.994542,0.010825,0.000001,0.002489,0.000026,0.000034,0.000071,0.000391,0.000245,0.000146,0.000033
135,0.000000,0.000243,0.000127,0.000115,0.995000,0.010660,0.000001,0.002513,0.000025,0.000031,0.000077,0.000440,0.000229,0.000135,0.000035
136,0.000000,0.000272,0.000119,0.000111,0.995138,0.008866,0.000001,0.002461,0.000024,0.000030,0.000060,0.000360,0.000219,0.000138,0.000033
137,0.000000,0.000289,0.000135,0.000121,0.994423,0.009347,0.000001,0.002503,0.000025,0.000032,0.000065,0.000384,0.000239,0.000133,0.000033
138,0.000000,0.000315,0.000107,0.000145,0.994657,0.009933,0.000001,0.002564,0.000026,0.000031,0.000064,0.000379,0.000246,0.000145,0.000034
139,0.000000,0.000393,0.000092,0.000141,0.994951,0.009945,0.000001,0.002287,0.000028,0.000033,0.000059,0.000389,0.000273,0.000143,0.000035
140,0.000000,0.000333,0.000074,0.000164,0.994333,0.010869,0.000001,0.002333,0.000024,0.000030,0.000046,0.000310,0.000229,0.000127,0.000029
141,0.000000,0.000319,0.000097,0.000168,0.994260,0.012980,0.000001,0.002558,0.000028,0.000037,0.000065,0.000422,0.000275,0.000135,0.000033
142,0.000000,0.000318,0.000090,0.000125,0.995479,0.010181,0.000001,0.002216,0.000026,0.000036,0.000062,0.000361,0.000259,0.000133,0.000033
143,0.000000,0.000404,0.000083,0.000141,0.995061,0.009942,0.000001,0.002187,0.000026,0.000032,0.000058,0.000367,0.000262,0.000146,0.000034
144,0.000000,0.000311,0.000103,0.000149,0.995037,0.011724,0.000001,0.002515,0.000029,0.000034,0.000074,0.000445,0.000278,0.000142,0.000037
145,0.000000,0.000408,0.000088,0.000148,0.994835,0.009464,0.000001,0.002412,0.000028,0.000033,0.000058,0.000361,0.000275,0.000144,0.000033
146,0.000000,0.000435,0.000081,0.000177,0.994394,0.012569,0.000001,0.002237,0.000031,0.000036,0.000058,0.000424,0.000310,0.000149,0.000034
147,0.000000,0.000292,0.000100,0.000146,0.994429,0.010296,0.000001,0.002768,0.000024,0.000029,0.000056,0.000348,0.000222,0.000144,0.000032
148,0.000000,0.000465,0.000089,0.000150,0.994914,0.008483,0.000001,0.002699,0.000028,0.000029,0.000055,0.000341,0.000271,0.000145,0.000037
149,0.000000,0.000406,0.000087,0.000149,0.994549,0.009563,0.000001,0.002428,0.000026,0.000031,0.000051,0.000332,0.000254,0.000136,0.000033
150,0.000000,0.000311,0.000113,0.000128,0.994763,0.010105,0.000001,0.002585,0.000026,0.000032,0.000071,0.000409,0.000244,0.000139,0.000036
151,0.000000,0.000436,0.000083,0.000175,0.994374,0.013252,0.000001,0.002125,0.000033,0.000043,0.000065,0.000453,0.000335,0.000147,0.000036
152,0.000000,0.000424,0.000095,0.000127,0.994828,0.009845,0.000001,0.002412,0.000026,0.000032,0.000055,0.000360,0.000252,0.000161,0.000035
153,0.000000,0.000283,0.000088,0.000160,0.994804,0.012836,0.000001,0.002465,0.000027,0.000036,0.000070,0.000410,0.000252,0.000127,0.000034
154,0.000000,0.000347,0.000067,0.000105,0.996096,0.008253,0.000001,0.002077,0.000022,0.000029,0.000051,0.000294,0.000207,0.000129,0.000031
155,0.000000,0.000376,0.000089,0.000147,0.994999,0.011998,0.000001,0.002215,0.000030,0.000043,0.000067,0.000433,0.000295,0.000151,0.000034
156,0.000000,0.000326,0.000114,0.000168,0.994113,0.013474,0.000001,0.002793,0.000030,0.000039,0.000075,0.000479,0.000289,0.000147,0.000038
157,0.000000,0.000385,0.000091,0.000132,0.995164,0.009010,0.000001,0.002379,0.000026,0.000030,0.000058,0.000347,0.000249,0.000146,0.000033
158,0.000000,0.000372,0.000104,0.000142,0.994773,0.009202,0.000001,0.002451,0.000028,0.000032,0.000056,0.000369,0.000265,0.000146,0.000034
159,0.000000,0.000305,0.000098,0.000150,0.994244,0.012001,0.000001,0.002592,0.000026,0.000034,0.000067,0.000402,0.000255,0.000130,0.000033
160,0.000000,0.000420,0.000105,0.000164,0.994417,0.011606,0.000001,0.002426,0.000030,0.000036,0.000066,0.000447,0.000300,0.000175,0.000040
161,0.000000,0.000377,0.000093,0.000186,0.994626,0.012254,0.000001,0.002301,0.000031,0.000037,0.000066,0.000432,0.000316,0.000151,0.000034
162,0.000000,0.000352,0.000121,0.000140,0.994487,0.010630,0.000001,0.002604,0.000028,0.000032,0.000071,0.000441,0.000273,0.000154,0.000038
163,0.000000,0.000413,0.000085,0.000178,0.994825,0.011252,0.000001,0.002331,0.000030,0.000036,0.000063,0.000400,0.000287,0.000160,0.000036
164,0.000000,0.000379,0.000090,0.000122,0.995081,0.008942,0.000001,0.002245,0.000025,0.000030,0.000053,0.000337,0.000242,0.000141,0.000032
165,0.000000,0.000344,0.000096,0.000167,0.994494,0.011794,0.000001,0.002716,0.000029,0.000033,0.000070,0.000427,0.000274,0.000142,0.000036
166,0.000000,0.000423,0.000078,0.000167,0.994282,0.009763,0.000001,0.002590,0.000026,0.000029,0.000049,0.000323,0.000249,0.000135,0.000032
167,0.000000,0.000352,0.000087,0.000140,0.995169,0.010040,0.000001,0.002384,0.000028,0.000036,0.000063,0.000369,0.000257,0.000137,0.000033
168,0.000000,0.000299,0.000123,0.000119,0.995006,0.010820,0.000001,0.002593,0.000026,0.000035,0.000074,0.000436,0.000243,0.000150,0.000041
169,0.000000,0.000444,0.000081,0.000143,0.995436,0.008518,0.000001,0.002372,0.000027,0.000029,0.000053,0.000342,0.000265,0.000157,0.000034
170,0.000000,0.000404,0.000099,0.000166,0.994702,0.009921,0.000001,0.002387,0.000029,0.000035,0.000061,0.000383,0.000302,0.000152,0.000036
171,0.000000,0.000345,0.000118,0.000145,0.994393,0.011739,0.000001,0.002631,0.000029,0.000035,0.000071,0.000458,0.000278,0.000153,0.000038
172,0.000000,0.000379,0.000098,0.000149,0.995112,0.010705,0.000001,0.002228,0.000029,0.000034,0.000063,0.000419,0.000289,0.000156,0.000036
173,0.000000,0.000403,0.000095,0.000175,0.994655,0.011273,0.000001,0.002364,0.000032,0.000035,0.000055,0.000405,0.000313,0.000153,0.000034
174,0.000000,0.000225,0.000152,0.000135,0.994559,0.011532,0.000001,0.002629,0.000028,0.000035,0.000082,0.000484,0.000256,0.000137,0.000036
175,0.000000,0.000314,0.000117,0.000145,0.994287,0.012453,0.000001,0.002285,0.000027,0.000034,0.000062,0.000429,0.000274,0.000149,0.000035
176,0.000000,0.000335,0.000116,0.000141,0.994745,0.011069,0.000001,0.002405,0.000028,0.000034,0.000071,0.000449,0.000268,0.000158,0.000038
177,0.000000,0.000259,0.000138,0.000133,0.994810,0.011659,0.000001,0.002515,0.000029,0.000036,0.000088,0.000498,0.000262,0.000141,0.000037
