frame,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14
87,0.000002,0.000000,0.000019,0.999931,0.000253,0.000022,0.000113,0.000244,0.000889,0.039855,0.090655,0.000110,0.000056,0.000035,0.000010
88,0.000002,0.000000,0.000019,0.999938,0.000245,0.000021,0.000112,0.000243,0.000862,0.035812,0.094245,0.000110,0.000059,0.000036,0.000009
89,0.000002,0.000000,0.000018,0.999937,0.000254,0.000022,0.000109,0.000248,0.000880,0.037725,0.099735,0.000112,0.000058,0.000036,0.000010
90,0.000000,0.000003,0.000005,0.998526,0.001852,0.000077,0.000003,0.000451,0.000172,0.000084,0.000728,0.000055,0.000019,0.000079,0.000008
91,0.000001,0.000004,0.000002,0.999601,0.000166,0.000010,0.000002,0.000094,0.000140,0.000068,0.079500,0.000029,0.000051,0.000029,0.000011
92,0.000001,0.000000,0.000005,0.999998,0.000002,0.000000,0.000093,0.000005,0.000571,0.000453,0.003139,0.000028,0.000005,0.000014,0.000044
93,0.000001,0.000001,0.000026,0.992961,0.013533,0.000024,0.000061,0.000024,0.000247,0.000051,0.064196,0.000096,0.000076,0.000026,0.000014
94,0.000000,0.000001,0.000044,0.998860,0.001630,0.000047,0.000146,0.000007,0.000445,0.000250,0.000385,0.000064,0.006868,0.000035,0.000010
95,0.000019,0.000000,0.000014,0.558288,0.585896,0.000633,0.000003,0.000062,0.000124,0.000216,0.002390,0.000465,0.000151,0.000268,0.000077
96,0.000066,0.000009,0.000208,0.126922,0.908390,0.002530,0.000138,0.000057,0.000729,0.000091,0.007602,0.010848,0.000549,0.002091,0.000066
97,0.000212,0.000205,0.003384,0.005152,0.851841,0.409939,0.000108,0.000317,0.001032,0.000304,0.004655,0.249830,0.001095,0.007055,0.000273
98,0.000044,0.000024,0.000731,0.043653,0.952631,0.040850,0.000032,0.000198,0.000371,0.001379,0.002891,0.006409,0.000689,0.001881,0.000199
99,0.000000,0.000048,0.000072,0.006577,0.918269,0.012894,0.000001,0.000228,0.000032,0.000046,0.000094,0.000277,0.000348,0.000207,0.000020
100,0.000000,0.000047,0.000037,0.007872,0.971894,0.004186,0.000003,0.000099,0.000032,0.000103,0.000168,0.000117,0.000516,0.000471,0.000026
101,0.000000,0.000032,0.000036,0.122634,0.850393,0.006273,0.000014,0.000131,0.000153,0.000136,0.000256,0.000295,0.003358,0.000143,0.000023
102,0.000001,0.000009,0.000053,0.654233,0.634781,0.000821,0.000062,0.000189,0.000164,0.000037,0.000509,0.000168,0.005609,0.000128,0.000021
103,0.000001,0.000003,0.000028,0.283943,0.900172,0.001860,0.000030,0.000135,0.000134,0.000169,0.000496,0.000189,0.002602,0.000108,0.000023
104,0.000009,0.000284,0.000061,0.359617,0.667939,0.005938,0.000048,0.000031,0.000167,0.000316,0.000513,0.000271,0.044999,0.000395,0.000083
105,0.000041,0.000432,0.000601,0.933943,0.099957,0.002863,0.000214,0.000026,0.000619,0.000251,0.002023,0.000416,0.674927,0.000523,0.000102
106,0.000039,0.000051,0.010099,0.046369,0.402892,0.429122,0.000076,0.000439,0.001010,0.005016,0.017454,0.069279,0.001692,0.004601,0.000204
107,0.000004,0.000036,0.000195,0.190264,0.874824,0.014491,0.000055,0.000069,0.000211,0.000669,0.004364,0.001221,0.004599,0.000331,0.000073
108,0.000002,0.000022,0.000123,0.526847,0.707168,0.009072,0.000067,0.000107,0.000331,0.000712,0.003360,0.000993,0.005681,0.000317,0.000073
109,0.000001,0.000007,0.000065,0.364437,0.853074,0.014051,0.000034,0.000108,0.000248,0.003526,0.002691,0.000919,0.002085,0.000238,0.000041
110,0.000004,0.000012,0.000167,0.158378,0.922131,0.018048,0.000026,0.000099,0.000266,0.000866,0.003430,0.002574,0.001715,0.000894,0.000090
111,0.000010,0.000070,0.000268,0.576546,0.677782,0.005255,0.000114,0.000043,0.000413,0.000896,0.005244,0.001362,0.009743,0.001285,0.000188
112,0.000002,0.000004,0.000075,0.907272,0.245575,0.002638,0.000061,0.000050,0.000279,0.000689,0.001436,0.000519,0.005035,0.000334,0.000056
113,0.000008,0.000025,0.000211,0.915938,0.185043,0.002195,0.000123,0.000033,0.000524,0.000408,0.001606,0.000871,0.013782,0.000890,0.000112
114,0.000005,0.000025,0.000185,0.697706,0.559753,0.001929,0.000103,0.000033,0.000339,0.000347,0.001529,0.000624,0.007012,0.000823,0.000093
115,0.000020,0.000055,0.000150,0.449774,0.667220,0.006013,0.000087,0.000070,0.000278,0.001265,0.006541,0.000920,0.007084,0.000620,0.000139
116,0.000000,0.000045,0.000014,0.037915,0.961714,0.001828,0.000008,0.000114,0.000076,0.000159,0.000416,0.000138,0.000915,0.000373,0.000024
117,0.000001,0.000027,0.000046,0.137866,0.942721,0.004743,0.000017,0.000069,0.000100,0.000259,0.001093,0.000298,0.002830,0.000220,0.000030
118,0.000002,0.000131,0.000091,0.042107,0.946207,0.008372,0.000053,0.000055,0.000135,0.000271,0.000278,0.000360,0.004869,0.000777,0.000066
119,0.000001,0.000150,0.000062,0.016218,0.968392,0.001775,0.000012,0.000063,0.000067,0.000072,0.000411,0.000193,0.000782,0.002052,0.000060
120,0.000000,0.000004,0.000001,0.012446,0.993902,0.000354,0.000001,0.000027,0.000015,0.000034,0.000281,0.000032,0.000036,0.000168,0.000006
121,0.000000,0.000087,0.000113,0.006575,0.933204,0.009778,0.000003,0.000209,0.000046,0.000046,0.000140,0.000455,0.000637,0.000222,0.000038
122,0.000000,0.000072,0.000080,0.004517,0.939206,0.003596,0.000001,0.000225,0.000026,0.000025,0.000057,0.000164,0.000315,0.000162,0.000022
