frame,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14
53,0.216872,0.074889,0.106719,0.041765,0.022624,0.017486,0.000595,0.007766,0.001410,0.001289,0.979793,0.012127,0.002554,0.003688,0.002466
54,0.267137,0.067402,0.104761,0.028621,0.026376,0.019598,0.000723,0.006524,0.001495,0.001456,0.976017,0.013340,0.002673,0.003747,0.002544
55,0.209233,0.069689,0.108218,0.042738,0.036434,0.028847,0.000827,0.011552,0.001965,0.001428,0.961387,0.018138,0.003540,0.003956,0.002761
56,0.105640,0.061870,0.088105,0.084618,0.036381,0.023690,0.000640,0.017016,0.002284,0.001649,0.947585,0.016261,0.003787,0.003725,0.002672
57,0.910031,0.000044,0.216950,0.000421,0.007554,0.002447,0.023242,0.000709,0.005439,0.931119,0.021493,0.002374,0.002714,0.001488,0.000286
58,0.267213,0.056919,0.106100,0.050612,0.036225,0.032711,0.001194,0.012954,0.002520,0.001686,0.953348,0.022986,0.003349,0.004251,0.002943
59,0.524032,0.000044,0.887122,0.000263,0.000556,0.000385,0.001415,0.000918,0.002596,0.301008,0.902402,0.002756,0.000278,0.003289,0.001738
60,0.997061,0.000003,0.002919,0.000013,0.013332,0.000370,0.095902,0.001079,0.003573,0.043417,0.025630,0.001744,0.009690,0.000936,0.000175
61,0.998725,0.000002,0.002940,0.000015,0.000863,0.000090,0.006774,0.000305,0.002044,0.122966,0.050715,0.000640,0.003343,0.003098,0.000091
62,0.997876,0.000003,0.004634,0.000086,0.000421,0.000167,0.311248,0.001437,0.011755,0.101008,0.019403,0.001873,0.000313,0.000500,0.000204
63,0.996914,0.000002,0.004541,0.000299,0.000870,0.000218,0.366778,0.002196,0.017200,0.178440,0.010321,0.002762,0.000416,0.000444,0.000305
64,0.999757,0.000002,0.001913,0.000007,0.000140,0.000065,0.399404,0.000713,0.011651,0.118101,0.021462,0.001436,0.000338,0.000566,0.000664
65,0.992362,0.000006,0.031795,0.000119,0.001895,0.000572,0.073920,0.002800,0.026476,0.634109,0.034814,0.004289,0.001994,0.001651,0.000990
66,0.127309,0.000000,0.959187,0.000019,0.000140,0.000136,0.009709,0.011867,0.009411,0.267660,0.452635,0.001754,0.000589,0.001353,0.000959
67,0.920880,0.000484,0.169648,0.000412,0.000906,0.000753,0.000165,0.005032,0.000603,0.000974,0.977160,0.001113,0.000223,0.001362,0.001147
68,0.962143,0.000000,0.091548,0.000004,0.000581,0.000200,0.009191,0.000647,0.002665,0.607149,0.015182,0.000658,0.005477,0.000350,0.000097
69,0.901035,0.007656,0.042978,0.000801,0.008928,0.001008,0.000089,0.004389,0.000376,0.000264,0.959664,0.001155,0.000313,0.001453,0.001767
70,0.000056,0.000005,0.999955,0.000008,0.000090,0.000134,0.000339,0.063721,0.002038,0.102332,0.853124,0.000917,0.000368,0.002485,0.006947
71,0.103862,0.000034,0.974605,0.000081,0.000380,0.000438,0.004332,0.002273,0.001667,0.158445,0.761705,0.003006,0.000282,0.003900,0.002819
72,0.985456,0.000795,0.021963,0.000073,0.001671,0.000506,0.087103,0.005289,0.007453,0.345220,0.033071,0.002414,0.000589,0.002514,0.002680
73,0.999845,0.000011,0.000461,0.000005,0.000231,0.000125,0.028085,0.005037,0.014464,0.315755,0.046667,0.001913,0.000446,0.000986,0.001553
74,0.891959,0.000044,0.353916,0.000004,0.000288,0.000237,0.006288,0.009332,0.005238,0.435170,0.448156,0.001615,0.000403,0.001620,0.000940
75,0.876260,0.000173,0.332484,0.000274,0.000507,0.000308,0.003048,0.001478,0.002652,0.599169,0.660476,0.001488,0.000315,0.003174,0.002899
76,0.843686,0.003226,0.170724,0.000169,0.004607,0.000688,0.001283,0.010268,0.001885,0.080366,0.712626,0.001551,0.000601,0.003027,0.001711
77,0.767923,0.000475,0.004385,0.000008,0.192279,0.003042,0.000454,0.003519,0.001655,0.039394,0.084693,0.002584,0.002210,0.003581,0.000453
78,0.044036,0.000170,0.971450,0.000029,0.002679,0.001322,0.002579,0.219315,0.004356,0.168318,0.035867,0.001655,0.000754,0.001821,0.003895
79,0.999531,0.000000,0.005395,0.000000,0.000056,0.000029,0.001900,0.008795,0.001973,0.312809,0.018640,0.000290,0.000821,0.000113,0.000051
80,0.000249,0.000033,0.999631,0.000033,0.000256,0.000296,0.000383,0.100308,0.002247,0.328939,0.048991,0.000729,0.000191,0.001511,0.008830
81,0.002154,0.000005,0.999439,0.000243,0.000031,0.000083,0.000471,0.003525,0.001790,0.075896,0.962449,0.001258,0.000137,0.003089,0.002230
82,0.000829,0.000001,0.999736,0.000035,0.000032,0.000088,0.000401,0.130476,0.001296,0.364107,0.518952,0.000413,0.000092,0.000425,0.001302
83,0.021627,0.000021,0.995556,0.000046,0.000035,0.000178,0.000818,0.060043,0.001576,0.073794,0.714245,0.000681,0.000071,0.000410,0.001503
84,0.108346,0.000101,0.987298,0.000021,0.000042,0.000118,0.000676,0.003461,0.000590,0.107247,0.979058,0.000648,0.000074,0.000471,0.001732
85,0.001442,0.000000,0.999480,0.000053,0.000039,0.000076,0.000750,0.015957,0.001310,0.244326,0.309926,0.000801,0.000145,0.000963,0.009340
86,0.883731,0.000811,0.163579,0.000063,0.000173,0.000171,0.000402,0.001087,0.001196,0.052846,0.922898,0.000767,0.000149,0.002472,0.001945
87,0.676556,0.000009,0.701586,0.000170,0.000249,0.000209,0.033378,0.002141,0.004519,0.064781,0.425764,0.001973,0.000436,0.001569,0.000917
88,0.132046,0.000724,0.919782,0.000061,0.000518,0.000508,0.000449,0.216507,0.001611,0.029913,0.170125,0.000849,0.000354,0.001881,0.003305
89,0.000099,0.000001,0.999936,0.000003,0.000018,0.000088,0.000362,0.051423,0.004998,0.212981,0.621052,0.001571,0.000198,0.005653,0.004123
90,0.998392,0.000000,0.038619,0.000000,0.000021,0.000021,0.004148,0.001561,0.001921,0.690894,0.015855,0.000259,0.000157,0.000251,0.000067
91,0.048378,0.000006,0.981992,0.000010,0.000060,0.000090,0.000273,0.040112,0.003003,0.517100,0.026385,0.000428,0.000073,0.001365,0.002406
92,0.002034,0.000021,0.999473,0.000004,0.000010,0.000044,0.000053,0.055717,0.000338,0.116187,0.811425,0.000183,0.000035,0.000484,0.004364
93,0.104851,0.000406,0.891507,0.000017,0.000015,0.000038,0.000056,0.002214,0.000499,0.016385,0.983387,0.000283,0.000022,0.001451,0.002689
94,0.374696,0.000545,0.748763,0.000020,0.000046,0.000100,0.000086,0.002939,0.000425,0.080451,0.945240,0.000311,0.000037,0.000809,0.002020
95,0.130192,0.000344,0.876316,0.000004,0.000009,0.000024,0.000036,0.004189,0.000155,0.027667,0.969288,0.000102,0.000011,0.000376,0.001350
96,0.183891,0.000276,0.834259,0.000004,0.000008,0.000022,0.000037,0.001507,0.000127,0.036000,0.978223,0.000098,0.000012,0.000342,0.000756
97,0.010254,0.000001,0.990896,0.000072,0.000146,0.000089,0.000198,0.074180,0.000493,0.414156,0.013445,0.000164,0.000066,0.000394,0.000802
98,0.334864,0.000003,0.947320,0.000080,0.000079,0.000096,0.001019,0.000886,0.000966,0.247876,0.779170,0.000922,0.000129,0.000638,0.002697
99,0.056116,0.000004,0.992867,0.000026,0.000088,0.000175,0.003199,0.023863,0.001793,0.588846,0.242089,0.000827,0.000252,0.000740,0.002789
100,0.012474,0.000006,0.997679,0.000011,0.000125,0.000185,0.001836,0.013128,0.001187,0.521282,0.149170,0.000627,0.000252,0.000996,0.001798
101,0.706366,0.000001,0.723983,0.000002,0.000119,0.000133,0.009151,0.001298,0.002888,0.137058,0.401721,0.001065,0.000332,0.000704,0.000346
102,0.008298,0.000001,0.995951,0.000019,0.000053,0.000115,0.000673,0.041900,0.001531,0.058340,0.520183,0.000962,0.000172,0.000640,0.003019
103,0.005243,0.000009,0.993845,0.000041,0.000168,0.000316,0.000132,0.671425,0.000974,0.022079,0.187829,0.000597,0.000198,0.000584,0.002275
104,0.008119,0.000120,0.992781,0.000045,0.000101,0.000383,0.000361,0.894826,0.002158,0.022239,0.199163,0.000753,0.000284,0.000659,0.004224
105,0.008120,0.000005,0.995457,0.000017,0.000046,0.000143,0.000074,0.959746,0.001208,0.067540,0.007574,0.000164,0.000124,0.000494,0.003151
106,0.000840,0.000039,0.998666,0.000079,0.000088,0.000685,0.000289,0.962621,0.005550,0.064161,0.020216,0.000632,0.000285,0.000716,0.008489
107,0.024679,0.000083,0.968628,0.000116,0.000123,0.000608,0.000417,0.947805,0.002629,0.022687,0.039153,0.000738,0.000138,0.000476,0.005813
